Path,zscore,pvalue
US-50-EB,6.179530084517946,6.429268228913543e-10
I-66-EB,2.8625049025027236,0.004203067582025044
I-66-WB,7.086509454132056,1.375344282905644e-12
US-29-NB,0.33743063439538135,0.7357922944680144
US-50-WB,3.036555868982726,0.00239297757637269
US-29-NB-TZ1_I-66-EB-TZ2-3-4,0.20877424972538283,0.834624474111366
I-66-EB-TZ1-2-3_US-29-NB-TZ4,0.14619496109432245,0.8837674832883538
I-66-EB-TZ1-2_US-29-NB-TZ3-4,0.4086881941846581,0.6827684987303559
US-50-EB-TZ1-2_I-66-EB-TZ3-4,2.903876791696397,0.003685731733972464
I-66-EB-TZ1_US-29-NB-TZ2-3-4,2.1818598715498565,0.02911987623641732
I-66-EB-TZ1-2_US-50-EB-TZ3-4,0.48713269391043185,0.6261642987842557
I-66-EB-TZ1-2-3_US-50-EB-TZ4,1.9315166887549027,0.05341918751431529
US-29-NB-TZ1-2_I-66-EB-TZ3-4,0.5366164716139759,0.5915325639502118
US-29-SB,5.3158049410481505,1.0618685442054243e-07
I-66-WB-TZ4-3-2_US-50-WB-TZ1,0.6812948601486071,0.49568493490842647
US-50-EB-TZ1_I-66-EB-TZ2-3-4,0.5262325397353064,0.5987266479424087
US-29-SB-TZ4_I-66-WB-TZ3-2-1,0.8275114951582212,0.40794720940003004
I-66-WB-TZ4-3-2_US-29-SB-TZ1,1.1132468934403983,0.265602407812084
US-50-EB-TZ1-2-3_I-66-EB-TZ4,2.364652245049842,0.018047008013324373
I-66-WB-TZ4_US-29-SB-TZ3-2-1,0.5727130405214861,0.5668390064153364
US-29-SB-TZ4-3_I-66-WB-TZ2-1,1.170552238176846,0.24177880503315752
US-50-WB_TZ4-3_I-66-WB-TZ2-1,3.2863128596407494,0.001015081980937138
US-50-WB_TZ4_I-66-WB-TZ3-2-1,0.24958398018184402,0.8029090885551331
I-66-WB-TZ4-3_US-50-WB-TZ2-1,0.7443826549761475,0.45664500933139585
I-66-WB-TZ4-3_US-29-SB-TZ2-1,0.6318653347471777,0.5274748767375737
I-66-WB-TZ4_US-50-WB-TZ3-2-1,1.1692242128710715,0.2423133082932316
US-29-SB-TZ4-3-2_I-66-WB-TZ1,0.8901338323515225,0.3733940284301289
US-29-NB-TZ1-2-3_I-66-EB-TZ4,1.21922616400687,0.22275836401914484
I-66-EB-TZ1_US-50-EB-TZ2-3-4,0.07887700851842806,0.9371304507972713
