Start datetime utc,End datetime utc
2018-03-01T05:00,2018-3-2T04:59
2018-03-02T05:00,2018-3-3T04:59
2018-03-05T05:00,2018-3-6T04:59
2018-03-06T05:00,2018-3-7T04:59
2018-03-07T05:00,2018-3-8T04:59
2018-03-08T05:00,2018-3-9T04:59
2018-03-09T05:00,2018-3-10T04:59
2018-03-12T04:00,2018-3-13T03:59
2018-03-13T04:00,2018-3-14T03:59
2018-03-14T04:00,2018-3-15T03:59
2018-03-15T04:00,2018-3-16T03:59
2018-03-16T04:00,2018-3-17T03:59
2018-03-19T04:00,2018-3-20T03:59
2018-03-20T04:00,2018-3-21T03:59
2018-03-21T04:00,2018-3-22T03:59
2018-03-22T04:00,2018-3-23T03:59
2018-03-23T04:00,2018-3-24T03:59
2018-03-26T04:00,2018-3-27T03:59
2018-03-27T04:00,2018-3-28T03:59
2018-03-28T04:00,2018-3-29T03:59
2018-03-29T04:00,2018-3-30T03:59
2018-03-30T04:00,2018-3-31T03:59
2018-04-02T04:00,2018-4-3T03:59
2018-04-03T04:00,2018-4-4T03:59
2018-04-04T04:00,2018-4-5T03:59
2018-04-05T04:00,2018-4-6T03:59
2018-04-06T04:00,2018-4-7T03:59
2018-04-09T04:00,2018-4-10T03:59
2018-04-10T04:00,2018-4-11T03:59
2018-04-11T04:00,2018-4-12T03:59
2018-04-12T04:00,2018-4-13T03:59
2018-04-13T04:00,2018-4-14T03:59
2018-04-16T04:00,2018-4-17T03:59
2018-04-17T04:00,2018-4-18T03:59
2018-04-18T04:00,2018-4-19T03:59
2018-04-19T04:00,2018-4-20T03:59
2018-04-20T04:00,2018-4-21T03:59
2018-04-23T04:00,2018-4-24T03:59
2018-04-24T04:00,2018-4-25T03:59
2018-04-25T04:00,2018-4-26T03:59
2018-04-26T04:00,2018-4-27T03:59
2018-04-27T04:00,2018-4-28T03:59
2018-04-30T04:00,2018-5-1T03:59
2018-05-01T04:00,2018-5-2T03:59
2018-05-02T04:00,2018-5-3T03:59
2018-05-03T04:00,2018-5-4T03:59
2018-05-04T04:00,2018-5-5T03:59
2018-05-07T04:00,2018-5-8T03:59
2018-05-08T04:00,2018-5-9T03:59
2018-05-09T04:00,2018-5-10T03:59
2018-05-10T04:00,2018-5-11T03:59
2018-05-11T04:00,2018-5-12T03:59
2018-05-14T04:00,2018-5-15T03:59
2018-05-15T04:00,2018-5-16T03:59
2018-05-16T04:00,2018-5-17T03:59
2018-05-17T04:00,2018-5-18T03:59
2018-05-18T04:00,2018-5-19T03:59
2018-05-21T04:00,2018-5-22T03:59
2018-05-22T04:00,2018-5-23T03:59
2018-05-23T04:00,2018-5-24T03:59
2018-05-24T04:00,2018-5-25T03:59
2018-05-25T04:00,2018-5-26T03:59
2018-05-29T04:00,2018-5-30T03:59
2018-05-30T04:00,2018-5-31T03:59
2018-05-31T04:00,2018-6-1T03:59
2018-06-01T04:00,2018-6-2T03:59
