"Fairfax County, NOVA","Maryland, DC",1077541
"Capital Hill, DC","Fairfax County, NOVA",335842
"Prince William, NOVA","Maryland, DC",326641
"Fairfax County, NOVA","Capital Hill, DC",176268
"Capital Hill, DC","Prince William, NOVA",172248
"Arlington, DC","Fairfax County, NOVA",166299
"Alexandria and Arlington, NOVA","Maryland, DC",154133
"Fairfax County, NOVA","Arlington, DC",141542
"Alexandria, DC","Fairfax County, NOVA",118754
"Arlington, DC","Prince William, NOVA",114599
"Maryland, DC","Fairfax County, NOVA",106977
"Fairfax County, NOVA","Springfield, DC",105498
"Fairfax County, NOVA","Fort Hunt and Belvoir, DC",104386
"Fairfax County, NOVA","Alexandria, DC",84494
"Loudoun County, NOVA","Maryland, DC",82464
"Springfield, DC","Fairfax County, NOVA",79043
"Maryland, DC","Prince William, NOVA",76158
"Capital Hill, DC","Loudoun County, NOVA",70975
"Capital Hill, DC","Faquire, NOVA",70899
"Tysons, DC","Fairfax County, NOVA",68095
"Alexandria, DC","Prince William, NOVA",64590
"Prince William, NOVA","Capital Hill, DC",62767
"Arlington, DC","Loudoun County, NOVA",62546
"Tysons, DC","Prince William, NOVA",58825
"Annandale, DC","Fairfax County, NOVA",51910
"Fairfax County, NOVA","Tysons, DC",47338
"Prince William, NOVA","Arlington, DC",40621
"Fairfax County, NOVA","Annandale, DC",38009
"Springfield, DC","Prince William, NOVA",37220
"Prince William, NOVA","Springfield, DC",36611
"Fort Hunt and Belvoir, DC","Fairfax County, NOVA",36005
"Maryland, DC","Loudoun County, NOVA",35575
"Arlington, DC","Faquire, NOVA",35389
"Annandale, DC","Prince William, NOVA",34454
"Alexandria and Arlington, NOVA","Capital Hill, DC",33847
"Prince William, NOVA","Fort Hunt and Belvoir, DC",31767
"Fort Hunt and Belvoir, DC","Prince William, NOVA",30914
"Prince William, NOVA","Alexandria, DC",29479
"Tysons, DC","Loudoun County, NOVA",27680
"Alexandria, DC","Loudoun County, NOVA",24375
"Capital Hill, DC","Alexandria and Arlington, NOVA",22783
"Alexandria, DC","Faquire, NOVA",20741
"Prince William, NOVA","Tysons, DC",18644
"Alexandria and Arlington, NOVA","Alexandria, DC",18610
"Springfield, DC","Loudoun County, NOVA",18504
"Maryland, DC","Faquire, NOVA",18377
"Springfield, DC","Faquire, NOVA",17084
"Tysons, DC","Faquire, NOVA",17043
"Annandale, DC","Loudoun County, NOVA",14484
"Prince William, NOVA","Annandale, DC",14097
"Loudoun County, NOVA","Arlington, DC",13173
"Fort Hunt and Belvoir, DC","Loudoun County, NOVA",12931
"Loudoun County, NOVA","Capital Hill, DC",12644
"Alexandria and Arlington, NOVA","Arlington, DC",12635
"Alexandria and Arlington, NOVA","Fort Hunt and Belvoir, DC",11867
"Alexandria and Arlington, NOVA","Springfield, DC",11846
"Annandale, DC","Faquire, NOVA",11402
"Arlington, DC","Alexandria and Arlington, NOVA",10637
"Alexandria, DC","Alexandria and Arlington, NOVA",8832
"Alexandria and Arlington, NOVA","Tysons, DC",8626
"Maryland, DC","Alexandria and Arlington, NOVA",8345
"Fort Hunt and Belvoir, DC","Faquire, NOVA",8065
"Loudoun County, NOVA","Fort Hunt and Belvoir, DC",7391
"Alexandria and Arlington, NOVA","Annandale, DC",6986
"Loudoun County, NOVA","Springfield, DC",5949
"Springfield, DC","Alexandria and Arlington, NOVA",5843
"Loudoun County, NOVA","Alexandria, DC",5778
"Annandale, DC","Alexandria and Arlington, NOVA",3030
"Fort Hunt and Belvoir, DC","Alexandria and Arlington, NOVA",2837
"Loudoun County, NOVA","Annandale, DC",2593
"Loudoun County, NOVA","Tysons, DC",2508
"Tysons, DC","Alexandria and Arlington, NOVA",1661
"Faquire, NOVA","Maryland, DC",1026
"Faquire, NOVA","Capital Hill, DC",201
"Faquire, NOVA","Arlington, DC",122
"Faquire, NOVA","Alexandria, DC",122
"Faquire, NOVA","Springfield, DC",93
"Faquire, NOVA","Fort Hunt and Belvoir, DC",78
"Faquire, NOVA","Annandale, DC",60
"Faquire, NOVA","Tysons, DC",43
